venue,innings,batting_team,bowling_team,batsmen,bowlers,y_actual
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"SC Ganguly,BB McCullum,RT Ponting","P Kumar,Z Khan,AA Noffke",61
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"R Dravid,W Jaffer,V Kohli,JH Kallis,CL White,MV Boucher","AB Dinda,I Sharma,AB Agarkar",26
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,"PA Patel,ML Hayden,MEK Hussey","B Lee,S Sreesanth,JR Hopes",53
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,"K Goel,JR Hopes","JDP Oram,MS Gony",63
Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,"T Kohli,YK Pathan,SR Watson,M Kaif","GD McGrath,B Geeves,MF Maharoof",40
Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,"G Gambhir,V Sehwag,S Dhawan","MM Patel,SR Watson,SK Trivedi",55
Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds","AB Dinda,I Sharma,AB Agarkar",39
Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,"WP Saha,BB McCullum,RT Ponting,SC Ganguly,DJ Hussey","WPUJC Vaas,RP Singh,SB Styris",26
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"L Ronchi,ST Jayasuriya,DJ Thornely,RV Uthappa","P Kumar,Z Khan,JH Kallis",47
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"S Chanderpaul,R Dravid,LRPL Taylor","A Nehra,SM Pollock,DS Kulkarni",40
Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,"K Goel,JR Hopes,KC Sangakkara","MM Patel,SR Watson,SK Trivedi",54
Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,"M Kaif,YK Pathan,Kamran Akmal,SR Watson,DS Lehmann","B Lee,S Sreesanth,JR Hopes",53
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,"AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds","GD McGrath,Mohammad Asif",25
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,"G Gambhir,V Sehwag,S Dhawan","WPUJC Vaas,RP Singh",48
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"PA Patel,ML Hayden,MEK Hussey,SK Raina","SM Pollock,A Nehra,DS Kulkarni",53
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"L Ronchi,ST Jayasuriya,RV Uthappa,SM Pollock","JDP Oram,MS Gony",52
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,"AC Gilchrist,VVS Laxman,Shahid Afridi,A Symonds","MM Patel,SR Watson,YK Pathan",58
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,"Kamran Akmal,GC Smith,YK Pathan","WPUJC Vaas,RP Singh,PP Ojha",73
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"K Goel,IK Pathan,KC Sangakkara","SM Pollock,A Nehra,DS Kulkarni",60
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,"L Ronchi,ST Jayasuriya,RV Uthappa,DJ Bravo","B Lee,IK Pathan,VRV Singh,S Sreesanth",39
"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,"SC Ganguly,BB McCullum,RT Ponting,WP Saha","JDP Oram,MS Gony,P Amarnath",61
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,"PA Patel,ML Hayden","AB Dinda,I Sharma,AB Agarkar",45
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis","SR Watson,Sohail Tanvir,MM Patel",57
